task_id,task_description
1,博多弁で自己紹介を考えて
2,旅行客向けに「福岡の隠れ名所」を教えて
3,長崎名物「カステラ」の新しいキャッチコピー
4,居酒屋メニューにあったら嬉しい「ご当地おつまみ」
5,福岡の屋台で一番ウケそうな新メニュー
6,長崎の「異国情緒」っぽい写真スポットを紹介
7,地元民しか知らない「美味しいラーメン屋」教えて
8,佐世保バーガーを超える「新ご当地バーガー」のアイデア
9,博多祇園山笠の良さを一言で伝えるキャッチフレーズ
10,長崎ちゃんぽんに入れてみたい意外な具材
11,「福岡 vs 長崎」どっちが住みやすい？理由も書いて
12,修学旅行生におすすめしたい「長崎観光ルート」
13,天神地下街で迷わないための裏技を教えて
14,角打ち（立ち飲み）文化の楽しみ方ガイド
15,福岡空港で「3時間暇つぶし」するなら何する？
16,博多のお土産で迷ってる人にオススメ3選
17,「福岡人あるある」をひとつ教えて
18,雨の日に行くべき「長崎のおしゃれカフェ」
19,中洲川端の夜を1000円で楽しむプラン
20,長崎ペンギン水族館の魅力を語って
21,福岡の子どもが喜ぶ「無料お出かけスポット」
22,ちゃんぽん・皿うどん、どっち派？理由も教えて
23,福岡・長崎の人が笑っちゃう方言クイズ問題を作って
24,「よかよか」「ばってん」使った短い会話文
25,福岡のB級グルメ新メニューを考案して
26,長崎の歴史をゆるく語る「3行エピソード」
27,福岡県民が誇る「ここは負けんばい」自慢
28,修学旅行で行くと楽しい「長崎の穴場スポット」
29,「福岡でモテる人」の特徴とは？エピソード付きで
30,長崎ハウステンボスでインスタ映えする場所を1つ